Agency,School,totalSQFT,Address,Enrolled,SqFtperStudent,SchoolCode,Longitude,Latitude,Ward,AtRiskPct,SQFTgroup,Enrollgroup,SQFTpergroup,FakeExpend,SchoolType
DCPS,Dunbar High School (OLD),365228,101 N St. NW,653,559,467,-77.01469386,38.90852322,5,0.657643312,"(9.44e+04,4.71e+06]","(515,3.77e+04]","(234,802]",93940159,HS
DCPS,Eastern High School,310721,1700 East Capitol St NE,1027,303,457,-76.97968429,38.89040233,6,0.59642401,"(9.44e+04,4.71e+06]","(515,3.77e+04]","(234,802]",23980828,HS
DCPS,Eaton Elementary School,57991,3301 Lowell St  NW,475,122,232,-77.06582114,38.93272674,3,0.059574468,"(3.7e+04,6.3e+04]","(369,515]","(100,153]",13088840,ES
DCPS,Eliot-Hine Middle School,151470,1830 Constitution Ave  NE,257,589,232,-77.06582114,38.93272674,3,0.059574468,"(9.44e+04,4.71e+06]","[60,280]","(234,802]",57274094,MS
DCPS,Ellington School of the Arts,177761,2501 11th St NW,523,340,471,-77.07030757,38.91344604,2,0.214417745,"(9.44e+04,4.71e+06]","(515,3.77e+04]","(234,802]",33927898,Unknown
DCPS,Francis-Stevens Education Campus,107751,2425 N St  NW,415,260,409,-77.052321,38.90746917,2,NA,"(9.44e+04,4.71e+06]","(369,515]","(234,802]",55700221,EC
DCPS,Garfield Elementary School,68201,2435 Alabama Ave  SE,284,240,238,-76.97080478,38.85173304,8,0.770676692,"(6.3e+04,9.44e+04]","(280,369]","(234,802]",82353822,ES
DCPS,Garrison Elementary School,62160,1200 S St  NW,245,254,239,-77.02861256,38.91390096,2,0.535714286,"(3.7e+04,6.3e+04]","[60,280]","(234,802]",37321987,ES
DCPS,H.D. Cooke Elementary School,78473,2525 17th St NW,402,195,227,-77.03881058,38.92394275,1,0.537878788,"(6.3e+04,9.44e+04]","(369,515]","(153,234]",92849482,ES
DCPS,Hardy Middle School,106341,1819 35th St  NW,386,275,246,-77.0686139,38.9155087,2,0.269541779,"(9.44e+04,4.71e+06]","(369,515]","(234,802]",79015964,MS
DCPS,Hart Middle School,149164,601 Mississippi Ave  SE,480,311,413,-76.99717875,38.83773754,8,0.762923351,"(9.44e+04,4.71e+06]","(369,515]","(234,802]",29616739,MS
DCPS,Hearst Elementary School,17213,3950 37th St  NW,292,59,258,-77.07195522,38.94072231,3,0.146341463,"[3.9e+03,3.7e+04]","(280,369]","[0,100]",32144020,ES
DCPS,Hendley Elementary School,66329,425 Chesapeake St  SE,504,132,249,-76.99918485,38.82898558,8,0.83109405,"(6.3e+04,9.44e+04]","(369,515]","(100,153]",86695947,ES
DCPS,Houston Elementary School,48544,1100 50th Pl  NE,279,174,251,-76.92994765,38.90541499,7,0.678832117,"(3.7e+04,6.3e+04]","[60,280]","(153,234]",60660864,ES
DCPS,Hyde-Addison Elementary School,19386,3219 O St  NW,306,63,252,-77.06453782,38.90801923,2,0.065868264,"[3.9e+03,3.7e+04]","(280,369]","[0,100]",42608509,ES
DCPS,J.O. Wilson Elementary School,97825,660 K Street NE,466,210,339,-76.99658902,38.90275767,6,0.484988453,"(9.44e+04,4.71e+06]","(369,515]","(153,234]",63536552,ES
DCPS,Janney Elementary School,71785,4130 Albemarle St  NW,695,103,254,-77.08099483,38.94755009,3,0.011164274,"(6.3e+04,9.44e+04]","(515,3.77e+04]","(100,153]",56657910,ES
DCPS,Jefferson Middle School,103576,801 7th St SW,278,373,415,-77.02291066,38.8798706,6,0.625,"(9.44e+04,4.71e+06]","[60,280]","(234,802]",45867383,MS
DCPS,John Hayden Johnson Middle School,170451,1400 Bruce Pl  SE,292,584,416,-76.98370368,38.85133657,8,0.760147602,"(9.44e+04,4.71e+06]","(280,369]","(234,802]",79802289,MS
DCPS,Kelly Miller Middle School,120265,301 49th St  NE,549,219,421,-76.93245507,38.89331503,7,0.721247563,"(9.44e+04,4.71e+06]","(515,3.77e+04]","(153,234]",9583399,MS
DCPS,Ketcham Elementary School,92343,1919 15th St  SE,309,299,257,-76.98362116,38.86604236,8,0.777777778,"(6.3e+04,9.44e+04]","(280,369]","(234,802]",70106556,ES
DCPS,Key Elementary School,63290,5001 Dana Pl  NW,383,165,272,-77.10052732,38.9268015,3,0.028871391,"(6.3e+04,9.44e+04]","(369,515]","(153,234]",26685694,ES
DCPS,Kimball Elementary School,72274,3375 Minnesota Ave  SE,348,208,259,-76.95757271,38.88308276,7,0.712121212,"(6.3e+04,9.44e+04]","(280,369]","(153,234]",90250484,ES
DCPS,King Elementary School,61737,3200 6th St  SE,372,166,344,-76.99823899,38.84244285,8,0.809756098,"(3.7e+04,6.3e+04]","(369,515]","(153,234]",81355225,ES
DCPS,Kramer Middle School,131865,1700 Q St  SE,337,391,417,-76.98017131,38.87128607,8,0.79076087,"(9.44e+04,4.71e+06]","(280,369]","(234,802]",44684991,MS
DCPS,Lafayette Elementary School,106574,5701 Broad Branch Rd  NW,697,153,261,-77.06803712,38.96662722,4,0.034833091,"(9.44e+04,4.71e+06]","(515,3.77e+04]","(100,153]",32824980,ES
DCPS,Langdon Education Campus,117308,1900 Evarts St  NE,342,343,262,-76.97708186,38.92470383,5,0.56,"(9.44e+04,4.71e+06]","(280,369]","(234,802]",35791732,EC
DCPS,Langley Education Campus,93680,101 T Street NE,289,324,370,NA,NA,NA,NA,"(6.3e+04,9.44e+04]","(280,369]","(234,802]",2847999,EC
DCPS,LaSalle-Backus Education Campus,55011,501 Riggs Road NE,350,157,264,-76.99988254,38.95997181,4,0.578947368,"(3.7e+04,6.3e+04]","(280,369]","(153,234]",19985421,EC
DCPS,Leckie Elementary School,64697,4201 M L  King Ave  SW,478,135,266,-77.01289191,38.82819645,8,0.526737968,"(6.3e+04,9.44e+04]","(369,515]","(100,153]",52676035,ES
DCPS,Ludlow-Taylor Elementary School,58639,659 G St  NE,340,172,271,-76.99649249,38.89874381,6,0.371237458,"(3.7e+04,6.3e+04]","(280,369]","(153,234]",16160985,ES
DCPS,Luke C. Moore High School,65751,1001 Monroe St NE,350,188,884,-76.99231633,38.93227605,5,NA,"(6.3e+04,9.44e+04]","(280,369]","(153,234]",42783217,HS
DCPS,Malcolm X Elementary School,94038,1500 Mississippi Ave. SE Washington,244,385,308,-76.98339858,38.84164506,8,0.76,"(6.3e+04,9.44e+04]","[60,280]","(234,802]",54489001,ES
DCPS,Mann Elementary School,22314,4430 Newark St NW,302,74,273,-77.08782619,38.93429197,3,0.006968641,"[3.9e+03,3.7e+04]","(280,369]","[0,100]",493664,ES
DCPS,Marie Reed Elementary School,155117,2201 18th St. NW,393,395,284,-77.04052995,38.91916731,1,0.355437666,"(9.44e+04,4.71e+06]","(369,515]","(234,802]",39343188,ES
DCPS,Maury Elementary School,48128,1250 Constitution Ave NE,367,131,274,-76.9886575,38.89218486,6,0.197640118,"(3.7e+04,6.3e+04]","(280,369]","(100,153]",85083279,ES
DCPS,McKinley Technology High School,665642,151 T St NE,850,783,435/458,NA,NA,NA,NA,"(9.44e+04,4.71e+06]","(515,3.77e+04]","(234,802]",84555392,HS
DCPS,Moten Elementary School,97094,1565 Morris Rd SE,398,244,285,-76.98294365,38.85665719,8,0.798342541,"(9.44e+04,4.71e+06]","(369,515]","(234,802]",80929831,ES
DCPS,Murch Elementary School,53673,4810 36th St  NW,620,87,287,-77.07007921,38.95293319,3,0.036741214,"(3.7e+04,6.3e+04]","(515,3.77e+04]","[0,100]",2155594,ES
DCPS,Nalle Elementary School,65418,219 50th St  SE,384,170,288,-76.93079651,38.88595408,7,0.720867209,"(6.3e+04,9.44e+04]","(369,515]","(153,234]",22958180,ES
DCPS,Noyes Education Campus,78524,2725 10th St  NE,290,271,290,-76.99184288,38.92517765,5,0.65,"(6.3e+04,9.44e+04]","(280,369]","(234,802]",91245103,EC
DCPS,Old Miner,18123,601 15th St  NE,398,46,280,-76.98290432,38.89737568,6,0.720657277,"[3.9e+03,3.7e+04]","(369,515]","[0,100]",33346280,Unknown
DCPS,Old Randle,19645,1650 30th St  SE,362,54,316,-76.96435628,38.8700914,7,0.647761194,"[3.9e+03,3.7e+04]","(280,369]","[0,100]",34630564,Unknown
DCPS,Orr Elementary School,62947,2200 Minnesota Ave  SE,384,164,291,-76.97448402,38.87179682,8,0.721126761,"(3.7e+04,6.3e+04]","(369,515]","(153,234]",75146556,ES
DCPS,Oyster-Adams Bilingual School (Adams),55563,2020 19th St. NW,314,177,292,-77.04437725,38.9173092,3,0.066565809,"(3.7e+04,6.3e+04]","(280,369]","(153,234]",23634114,Unknown
DCPS,Oyster-Adams Bilingual School (Oyster),61865,2801 Calvert St NW,336,184,292,-77.04437725,38.9173092,3,0.066565809,"(3.7e+04,6.3e+04]","(280,369]","(153,234]",86082043,Unknown
DCPS,Patterson Elementary School,81741,4399 South Capitol Terr  SW,383,213,294,-77.00848471,38.82696603,8,0.775280899,"(6.3e+04,9.44e+04]","(369,515]","(153,234]",85932735,ES
DCPS,Payne Elementary School,61493,1445 C St SE,277,222,295,-76.98419491,38.88513231,6,0.546511628,"(3.7e+04,6.3e+04]","[60,280]","(153,234]",57009481,ES
DCPS,Peabody Elementary School,35391,425 C St  NE,227,156,301,-76.99985799,38.89289599,6,0.070175439,"[3.9e+03,3.7e+04]","[60,280]","(153,234]",15222055,ES
DCPS,"Phelps Architecture, Construction, and Engineering High School",170801,704 26th Street NE,323,529,478,-76.97189763,38.90199169,5,0.470219436,"(9.44e+04,4.71e+06]","(280,369]","(234,802]",99945093,HS
DCPS,Plummer Elementary School,66032,4601 Texas Ave  SE,429,154,299,-76.93993468,38.88723986,7,0.771634615,"(6.3e+04,9.44e+04]","(369,515]","(153,234]",18410813,ES
DCPS,Powell Elementary School,62970,1350 Upshur St  NW,447,141,300,-77.03122742,38.94153401,4,0.445812808,"(3.7e+04,6.3e+04]","(369,515]","(100,153]",40268502,ES
DCPS,Raymond Education Campus,65306,915 Spring Rd  NW,581,112,302,-77.02643266,38.93581087,4,0.454880295,"(6.3e+04,9.44e+04]","(515,3.77e+04]","(100,153]",74402376,EC
DCPS,Roosevelt High School,332294,4301 13th St NW,1284,259,459,-77.02777634,38.94360818,4,0.696347032,"(9.44e+04,4.71e+06]","(515,3.77e+04]","(234,802]",16186501,HS
DCPS,Ross Elementary School,20270,1730 R St  NW,166,122,305,-77.03966215,38.91239081,2,0.074534162,"[3.9e+03,3.7e+04]","[60,280]","(100,153]",30099823,ES
DCPS,Savoy Elementary School,73483,2400 Shannon Pl SE,408,180,307,-76.99360426,38.86285165,8,0.730392157,"(6.3e+04,9.44e+04]","(369,515]","(153,234]",66887405,ES
DCPS,School Without Walls High School,60334,2130 G St NW,590,102,466,-77.04818647,38.89812379,2,0.085470086,"(3.7e+04,6.3e+04]","(515,3.77e+04]","(100,153]",20360488,HS
DCPS,Seaton Elementary School,66624,1503 10th St  NW,295,226,309,-77.02488247,38.91061836,6,0.513833992,"(6.3e+04,9.44e+04]","(280,369]","(153,234]",8601316,ES
DCPS,Shepherd Elementary School,47363,7800 14th St  NW,318,149,313,-77.03399523,38.98460295,4,0.15131579,"(3.7e+04,6.3e+04]","(280,369]","(100,153]",61971488,ES
DCPS,Simon Elementary School,59891,401 Mississippi Ave  SE,293,204,315,-77.000195,38.8359802,8,0.760135135,"(3.7e+04,6.3e+04]","(280,369]","(153,234]",58753126,ES
DCPS,Smothers Elementary School,40746,4400 Brooks St  NE,275,148,322,-76.93846864,38.8935537,7,0.710344828,"(3.7e+04,6.3e+04]","[60,280]","(100,153]",8092696,ES
DCPS,Sousa Middle School,114073,3650 Ely Pl SE,284,402,427,-76.95315885,38.88389408,7,0.708474576,"(9.44e+04,4.71e+06]","(280,369]","(234,802]",21860779,MS
DCPS,Stanton Elementary School,55342,2701 Naylor Rd  SE,578,96,319,-76.96849023,38.85927177,8,0.830769231,"(3.7e+04,6.3e+04]","(515,3.77e+04]","[0,100]",20770706,ES
DCPS,Stoddert Elementary School,86625,4001 Calvert St  NW,418,207,321,-77.0790738,38.92304431,3,0.036745407,"(6.3e+04,9.44e+04]","(369,515]","(153,234]",30490220,ES
DCPS,Stuart-Hobson Middle School,110837,410 E St  NE,423,262,428,-77.00000438,38.89629737,6,0.304556355,"(9.44e+04,4.71e+06]","(369,515]","(234,802]",44981783,MS
DCPS,Takoma Education Campus,119436,7010 Piney Branch Rd  NW,443,270,324,-77.02279493,38.97504254,4,0.466063348,"(9.44e+04,4.71e+06]","(369,515]","(234,802]",48515268,EC
DCPS,Thomas Elementary School,74826,650 Anacostia Ave NE,408,183,325,-76.95211091,38.90127864,7,0.743961353,"(6.3e+04,9.44e+04]","(369,515]","(153,234]",18103243,ES
DCPS,Thomson Elementary School,135050,1200 L St  NW,272,497,326,-77.02843003,38.903496,2,0.415224914,"(9.44e+04,4.71e+06]","[60,280]","(234,802]",40058879,ES
DCPS,Truesdell Education Campus,78964,800 Ingraham St  NW,526,150,327,-77.02507158,38.95396836,4,0.53125,"(6.3e+04,9.44e+04]","(515,3.77e+04]","(100,153]",34826834,EC
DCPS,Tubman Elementary School,83462,3101 13th St  NW,502,166,328,-77.0294433,38.92919824,1,0.63064833,"(6.3e+04,9.44e+04]","(369,515]","(153,234]",92684011,ES
DCPS,Turner Elementary School,101093,3264 Stanton Rd SE,395,256,329,-76.98030993,38.84763494,8,0.779156328,"(9.44e+04,4.71e+06]","(369,515]","(234,802]",21839565,ES
DCPS,Tyler Elementary School,72954,1001 G St  SE,523,139,330,-76.99204166,38.88108402,6,0.402366864,"(6.3e+04,9.44e+04]","(515,3.77e+04]","(100,153]",11728706,ES
DCPS,Walker-Jones Education Campus,114942,1125 New Jersey Ave NW,472,244,332,-77.01391586,38.90419176,6,0.718061674,"(9.44e+04,4.71e+06]","(369,515]","(234,802]",44433693,EC
DCPS,Washington Metropolitan High School,65029,300 Bryant Street NW,244,267,474,-77.01558467,38.92042978,1,NA,"(6.3e+04,9.44e+04]","[60,280]","(234,802]",79827387,HS
DCPS,Watkins Elementary School,62970,420 12th St  SE,500,126,333,-76.98999677,38.88346667,6,0.214678899,"(3.7e+04,6.3e+04]","(369,515]","(100,153]",94707480,ES
DCPS,West Education Campus,91389,1338 Farragut St  NW,267,342,336,-77.03225306,38.95136708,4,0.341085271,"(6.3e+04,9.44e+04]","[60,280]","(234,802]",18450084,EC
DCPS,Wheatley Education Campus,94773,1299 Neal St NE,463,205,335,-76.98850077,38.90411741,5,0.780542986,"(9.44e+04,4.71e+06]","(369,515]","(153,234]",42092645,EC
DCPS,Whittier Education Campus,63516,6201 5th St  NW,352,180,338,-77.0192386,38.96585694,4,0.560773481,"(6.3e+04,9.44e+04]","(280,369]","(153,234]",36343861,EC
DCPS,Wilson High School,406854,3950 Chesapeake St NW,1794,227,463,-77.0777752,38.95015581,3,0.201061321,"(9.44e+04,4.71e+06]","(515,3.77e+04]","(153,234]",80377868,HS
DCPS,Ballou HS (includes STAY Program),NA,3401 4th St  SE,1345,0,452,-77.00097526,38.83938233,8,0.716814159,NA,"(515,3.77e+04]","[0,100]",59006575,HS
DCPS,Cardozo EC,NA,1200 Clifton St. NW,785,0,454,-77.02847079,38.9221722,1,0.644640235,NA,"(515,3.77e+04]","[0,100]",16294631,EC
DCPS,Capitol Hill Montessori School @ Logan,NA,215 G Street NE,311,0,629,-77.0025627,38.89852997,6,0.101,NA,"(280,369]","[0,100]",64039648,EC
HS,"Woodson, H.D. HS",NA,540 55th St. NE,639,0,464,-76.92232214,38.89678282,7,0.68503937,NA,"(515,3.77e+04]","[0,100]",81024617,HS
,,,,,,,,,,0.5463138,"(6.3e+04,9.44e+04]","(515,3.77e+04]","(100,153]",93604657,
